Price,Close,High,Low,Open,Volume
Ticker,SPCE,SPCE,SPCE,SPCE,SPCE
Date,,,,,
2021-10-05,450.6000061035156,457.6000061035156,439.20001220703125,455.79998779296875,452760
2021-10-06,459.6000061035156,466.20001220703125,446.20001220703125,450.6000061035156,483890
2021-10-07,464.20001220703125,473.20001220703125,456.79998779296875,460.6000061035156,342785
2021-10-08,462.3999938964844,474.760009765625,457.6000061035156,463.79998779296875,257730
2021-10-11,464.3999938964844,475.6000061035156,460.3999938964844,461.3999938964844,247425
2021-10-12,470.20001220703125,479.0,461.8999938964844,468.0,270300
2021-10-13,478.79998779296875,482.6000061035156,470.6000061035156,473.0,316975
2021-10-14,481.20001220703125,486.3999938964844,471.70001220703125,485.0,646615
2021-10-15,400.20001220703125,426.3999938964844,397.3999938964844,409.3999938964844,2953430
2021-10-18,394.3999938964844,398.3999938964844,380.0,380.79998779296875,1255015
2021-10-19,396.79998779296875,401.6000061035156,384.1000061035156,390.0,761390
2021-10-20,403.0,410.79998779296875,393.20001220703125,395.20001220703125,555755
2021-10-21,403.0,415.20001220703125,397.20001220703125,404.20001220703125,498920
2021-10-22,393.20001220703125,400.20001220703125,384.6000061035156,400.0,431775
2021-10-25,400.79998779296875,410.6000061035156,392.6000061035156,394.79998779296875,564805
2021-10-26,392.20001220703125,405.20001220703125,389.79998779296875,400.79998779296875,542350
2021-10-27,364.79998779296875,378.20001220703125,359.6000061035156,376.0,1078875
2021-10-28,371.20001220703125,374.5,365.8999938964844,367.20001220703125,520065
2021-10-29,375.0,381.6000061035156,371.70001220703125,373.0,415395
2021-11-01,391.0,393.6000061035156,373.79998779296875,377.20001220703125,485095
2021-11-02,392.0,392.0,378.79998779296875,388.0,395585
2021-11-03,398.79998779296875,400.79998779296875,389.0,390.20001220703125,452005
2021-11-04,392.3999938964844,404.0,389.0,400.6000061035156,412650
2021-11-05,390.6000061035156,398.20001220703125,382.1000061035156,393.20001220703125,370560
2021-11-08,397.79998779296875,400.3999938964844,385.79998779296875,386.3999938964844,594130
2021-11-09,418.0,433.6000061035156,386.6000061035156,397.79998779296875,1330265
2021-11-10,405.20001220703125,429.79998779296875,399.0,411.3999938964844,647435
2021-11-11,385.3999938964844,390.79998779296875,381.6000061035156,386.20001220703125,798285
2021-11-12,384.3999938964844,390.6000061035156,383.0,386.0,350450
2021-11-15,380.0,390.1000061035156,379.3999938964844,384.0,567805
2021-11-16,366.3999938964844,376.1199951171875,363.55999755859375,375.0,767950
2021-11-17,358.20001220703125,371.0,354.6000061035156,366.3999938964844,579365
2021-11-18,347.6000061035156,360.0,343.3999938964844,359.3999938964844,477555
2021-11-19,345.0,354.20001220703125,341.20001220703125,348.0,433690
2021-11-22,341.6000061035156,353.0,336.6000061035156,349.1000061035156,467215
2021-11-23,336.6000061035156,346.79998779296875,327.29998779296875,340.79998779296875,512080
2021-11-24,340.6000061035156,344.29998779296875,324.6000061035156,334.20001220703125,349415
2021-11-26,334.6000061035156,343.0,326.79998779296875,328.3999938964844,270480
2021-11-29,325.0,337.0,319.6000061035156,335.6000061035156,513910
2021-11-30,320.0,328.79998779296875,306.6000061035156,321.79998779296875,598950
2021-12-01,297.20001220703125,328.3999938964844,296.0,324.5,644000
2021-12-02,301.6000061035156,309.0,288.82000732421875,298.6000061035156,649275
2021-12-03,287.3999938964844,301.6000061035156,280.3999938964844,301.6000061035156,647940
2021-12-06,292.79998779296875,298.0,273.70001220703125,283.79998779296875,655740
2021-12-07,312.3999938964844,317.6000061035156,299.20001220703125,300.0,562550
